time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-12-25,21.3,6.2,0.00,1,9.4
2024-12-26,21.6,5.9,0.00,3,10.6
2024-12-27,14.7,6.3,10.00,61,23.4
2024-12-28,17.0,10.0,13.70,63,16.5
2024-12-29,21.1,8.2,0.00,2,9.1
2024-12-30,18.4,6.6,0.00,3,9.2
2024-12-31,16.2,5.4,0.00,3,8.3
2025-01-01,16.9,6.5,0.00,3,6.6
2025-01-02,17.4,4.8,0.00,3,7.8
2025-01-03,21.6,6.0,0.00,3,9.2
2025-01-04,20.3,5.4,0.00,0,8.4
2025-01-05,20.2,5.7,0.00,2,6.4
2025-01-06,19.9,6.4,0.00,3,11.6
2025-01-07,19.6,5.0,0.00,1,8.5
2025-01-08,16.7,6.0,0.00,3,6.8
2025-01-09,17.5,4.8,0.00,3,6.9
2025-01-10,16.8,6.4,0.00,3,7.3
2025-01-11,18.7,6.2,0.00,3,12.2
2025-01-12,17.3,7.1,5.20,61,10.4
2025-01-13,21.4,5.4,0.00,0,10.8
2025-01-14,18.1,4.0,0.00,1,8.4
2025-01-15,19.2,5.1,0.00,3,7.9
2025-01-16,17.6,7.0,5.60,61,8.5
2025-01-17,21.5,4.9,0.00,3,8.9
2025-01-18,19.1,6.1,0.00,3,10.7
2025-01-19,23.1,6.9,0.00,3,7.3
2025-01-20,23.2,7.7,0.00,3,7.6
2025-01-21,23.9,7.2,0.00,3,8.7
2025-01-22,23.2,6.3,0.00,0,11.7
2025-01-23,22.4,6.5,0.00,3,8.5
2025-01-24,21.6,6.0,0.00,0,9.4
2025-01-25,20.0,4.1,0.00,0,8.0
2025-01-26,18.6,5.5,0.00,1,8.0
2025-01-27,18.5,6.0,0.00,3,8.5
2025-01-28,19.4,6.2,0.00,0,7.4
2025-01-29,21.7,6.5,0.00,2,8.7
2025-01-30,22.2,5.9,0.00,1,8.5
2025-01-31,22.9,6.3,0.00,0,9.8
2025-02-01,23.4,6.0,0.00,0,11.0
2025-02-02,23.4,6.6,0.00,0,9.0
2025-02-03,21.9,6.4,0.00,1,8.9
2025-02-04,21.5,7.3,1.60,53,8.9
2025-02-05,20.9,8.7,0.00,2,10.6
2025-02-06,21.4,5.0,0.00,2,10.0
2025-02-07,21.8,4.5,0.00,2,11.4
2025-02-08,21.3,5.5,0.00,3,9.2
2025-02-09,25.5,6.9,0.00,0,9.3
2025-02-10,22.8,7.4,0.00,3,10.8
2025-02-11,24.4,7.6,0.00,0,10.8
2025-02-12,23.7,8.8,0.00,3,13.4
2025-02-13,22.6,5.2,0.00,3,13.2
2025-02-14,23.8,4.5,0.00,3,9.3
2025-02-15,19.3,6.1,7.60,63,14.8
2025-02-16,23.6,6.9,0.00,3,9.7
2025-02-17,25.1,8.0,0.00,3,9.8
2025-02-18,24.4,9.5,0.00,3,13.0
2025-02-19,23.8,7.8,0.00,3,11.4
2025-02-20,19.3,10.5,4.70,61,11.4
2025-02-21,23.8,8.9,0.00,3,8.7
2025-02-22,23.0,7.6,0.00,3,10.5
2025-02-23,24.3,8.3,0.00,1,13.2
2025-02-24,24.6,8.7,0.00,3,12.9
2025-02-25,24.8,9.7,0.00,3,10.4
2025-02-26,26.8,12.0,0.10,51,11.9
2025-02-27,18.2,14.2,7.40,61,19.8
2025-02-28,18.6,13.1,31.70,63,16.4
2025-03-01,22.6,10.0,3.50,63,9.5
2025-03-02,24.8,7.9,0.00,0,10.1
2025-03-03,27.0,8.2,0.00,2,9.7
2025-03-04,23.1,11.7,1.50,53,12.4
2025-03-05,22.7,6.7,0.00,0,14.2
2025-03-06,23.8,6.8,0.00,0,11.2
2025-03-07,23.9,7.9,0.00,2,10.7
2025-03-08,25.1,8.7,0.00,3,9.8
2025-03-09,26.5,9.1,0.00,2,10.6
2025-03-10,27.5,10.3,0.00,3,9.0
2025-03-11,29.1,12.2,0.00,3,8.9
2025-03-12,29.3,12.2,0.00,3,13.8
2025-03-13,29.7,13.2,0.00,3,10.0
2025-03-14,29.5,11.4,0.00,3,10.6
2025-03-15,27.1,15.2,2.00,55,23.3
2025-03-16,27.1,13.3,0.40,51,12.7
2025-03-17,25.8,10.4,0.00,1,10.5
2025-03-18,26.9,9.8,0.00,2,12.2
2025-03-19,28.6,11.7,0.00,3,9.9
2025-03-20,29.0,11.5,0.00,0,10.8
2025-03-21,29.0,11.6,0.00,1,11.1
2025-03-22,28.4,10.0,0.00,3,14.7
2025-03-23,27.9,11.3,0.00,0,10.7
2025-03-24,27.9,11.3,0.00,0,10.8
2025-03-25,29.0,13.1,0.00,0,10.0
2025-03-26,30.4,13.6,0.00,3,10.5
2025-03-27,33.3,15.0,0.00,3,11.8
2025-03-28,30.0,14.8,0.00,0,13.3
2025-03-29,28.0,9.9,0.00,3,9.8
2025-03-30,29.2,10.6,0.00,0,8.5
2025-03-31,29.9,10.0,0.00,0,10.5
2025-04-01,29.6,10.6,0.00,0,9.7
2025-04-02,31.1,11.2,0.00,0,10.3
2025-04-03,32.0,11.9,0.00,1,12.1
2025-04-04,32.7,13.0,0.00,0,13.4
2025-04-05,31.6,12.9,0.00,3,10.9
2025-04-06,31.5,13.9,0.00,3,11.1
2025-04-07,33.8,15.3,0.00,3,12.0
2025-04-08,34.4,16.6,0.00,3,14.1
2025-04-09,33.1,17.2,0.40,51,10.6
2025-04-10,32.3,17.0,0.00,3,14.5
2025-04-11,30.9,15.9,0.90,53,14.2
2025-04-12,28.9,16.2,0.90,53,14.6
2025-04-13,30.8,14.9,0.00,1,8.9
2025-04-14,30.7,15.4,0.00,1,13.4
2025-04-15,31.6,17.5,0.90,53,8.4
2025-04-16,32.2,18.3,0.00,3,9.3
2025-04-17,32.7,18.4,0.00,3,9.8
2025-04-18,33.5,17.7,0.40,51,11.3
2025-04-19,31.9,19.7,0.00,3,10.2
2025-04-20,34.5,17.3,1.40,61,17.5
2025-04-21,36.5,19.1,0.00,3,12.2
2025-04-22,35.9,17.7,0.00,0,12.9
2025-04-23,34.9,16.6,0.00,0,11.4
2025-04-24,35.3,16.1,0.00,0,12.5
2025-04-25,36.7,15.8,0.00,0,11.2
2025-04-26,36.4,16.0,0.00,3,12.7
2025-04-27,35.0,17.7,0.00,3,13.0
2025-04-28,34.5,16.8,0.00,3,12.7
2025-04-29,32.4,17.2,0.00,3,12.5
2025-04-30,31.6,18.1,0.00,3,14.0
2025-05-01,31.8,18.8,0.90,51,21.4
2025-05-02,31.2,19.0,5.30,63,10.6
2025-05-03,30.0,18.9,1.70,61,9.4
2025-05-04,33.7,18.6,2.80,63,18.1
2025-05-05,30.9,19.1,0.20,51,10.5
2025-05-06,31.2,18.3,0.80,51,11.6
2025-05-07,31.3,18.5,0.30,51,10.4
2025-05-08,32.9,19.7,17.20,63,17.0
2025-05-09,33.5,20.3,0.40,51,14.4
2025-05-10,33.3,20.5,0.20,51,9.5
