time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-12-25,21.8,15.1,1.40,61,9.6
2024-12-26,26.0,15.0,0.00,2,6.8
2024-12-27,28.4,15.4,0.00,1,12.0
2024-12-28,22.8,16.6,8.30,63,13.1
2024-12-29,23.2,16.0,0.00,3,11.5
2024-12-30,21.0,13.2,0.10,51,12.6
2024-12-31,20.1,10.9,0.00,3,7.9
2025-01-01,18.1,9.4,0.00,2,10.6
2025-01-02,18.7,9.4,0.00,3,9.8
2025-01-03,19.7,8.8,0.00,3,7.3
2025-01-04,18.8,9.1,0.00,3,4.2
2025-01-05,19.1,9.2,0.00,3,6.7
2025-01-06,22.3,12.0,0.00,3,9.0
2025-01-07,19.1,12.0,0.20,51,14.9
2025-01-08,17.3,10.7,0.00,3,11.7
2025-01-09,19.4,9.8,0.00,3,6.5
2025-01-10,19.5,9.0,0.00,3,5.9
2025-01-11,20.6,7.6,0.00,3,9.2
2025-01-12,23.8,12.3,0.00,3,13.0
2025-01-13,20.8,12.3,0.00,3,10.5
2025-01-14,21.1,11.4,0.00,3,7.3
2025-01-15,21.0,9.1,0.00,3,6.9
2025-01-16,20.1,9.4,0.00,3,8.1
2025-01-17,21.1,11.0,0.00,3,10.2
2025-01-18,20.9,11.1,0.00,0,8.9
2025-01-19,20.5,9.9,0.00,0,12.5
2025-01-20,24.1,12.4,0.00,0,13.6
2025-01-21,23.9,14.1,0.00,0,12.4
2025-01-22,24.3,13.3,0.00,0,9.7
2025-01-23,24.8,11.6,0.00,3,6.7
2025-01-24,23.8,13.9,0.00,1,12.0
2025-01-25,22.1,11.6,0.00,0,11.0
2025-01-26,21.8,10.3,0.00,0,10.4
2025-01-27,21.6,10.0,0.00,0,9.6
2025-01-28,21.7,9.9,0.00,0,8.4
2025-01-29,22.4,11.2,0.00,3,6.5
2025-01-30,24.5,8.6,0.00,3,7.9
2025-01-31,26.7,12.1,0.00,2,10.0
2025-02-01,27.0,14.3,0.00,1,7.3
2025-02-02,27.7,14.9,0.00,0,10.3
2025-02-03,26.2,14.9,0.00,0,8.7
2025-02-04,27.9,13.9,0.00,3,8.1
2025-02-05,29.7,17.0,0.00,3,14.0
2025-02-06,25.3,13.8,0.00,0,14.6
2025-02-07,24.5,12.3,0.00,0,15.5
2025-02-08,24.2,11.8,0.00,3,11.7
2025-02-09,26.6,12.8,0.00,3,9.6
2025-02-10,28.5,13.3,0.00,1,9.1
2025-02-11,29.6,14.6,0.00,0,12.8
2025-02-12,30.0,15.7,0.00,0,15.6
2025-02-13,26.2,14.6,0.00,0,18.2
2025-02-14,27.3,13.6,0.00,0,21.0
2025-02-15,28.7,14.8,0.00,2,12.8
2025-02-16,29.3,15.9,0.00,0,10.7
2025-02-17,29.4,17.7,0.00,0,9.9
2025-02-18,29.5,16.4,0.00,0,9.7
2025-02-19,29.4,17.4,0.00,3,9.4
2025-02-20,30.0,18.1,0.00,1,11.4
2025-02-21,31.0,18.3,0.00,1,9.4
2025-02-22,29.9,17.7,0.00,1,12.7
2025-02-23,28.3,16.9,0.00,0,13.4
2025-02-24,28.6,15.4,0.00,0,9.9
2025-02-25,28.5,15.9,0.00,3,8.5
2025-02-26,28.8,15.1,0.00,3,6.1
2025-02-27,31.2,17.3,0.00,3,7.5
2025-02-28,32.3,19.0,0.00,3,12.1
2025-03-01,30.0,19.8,0.00,3,20.1
2025-03-02,32.3,18.3,0.00,0,17.2
2025-03-03,31.2,18.9,0.00,1,19.1
2025-03-04,32.2,18.4,0.00,1,19.6
2025-03-05,26.9,17.6,0.00,0,22.7
2025-03-06,27.0,14.7,0.00,0,14.7
2025-03-07,30.1,14.4,0.00,0,11.8
2025-03-08,31.2,16.2,0.00,0,13.1
2025-03-09,32.2,17.8,0.00,0,11.6
2025-03-10,32.1,18.6,0.00,0,10.1
2025-03-11,33.3,19.3,0.00,3,11.0
2025-03-12,36.2,21.2,0.00,0,16.4
2025-03-13,35.5,21.8,0.00,3,18.0
2025-03-14,36.6,22.3,0.00,1,11.8
2025-03-15,38.8,22.4,0.00,1,12.8
2025-03-16,34.9,24.5,0.00,3,21.5
2025-03-17,34.0,22.7,0.00,3,15.1
2025-03-18,33.0,20.1,0.00,3,19.3
2025-03-19,33.7,18.9,0.00,0,11.4
2025-03-20,34.2,21.8,0.00,3,15.8
2025-03-21,33.3,23.0,0.50,53,14.7
2025-03-22,34.4,19.6,0.00,3,13.0
2025-03-23,33.6,20.7,0.00,3,12.3
2025-03-24,34.8,19.8,0.00,0,9.0
2025-03-25,35.2,20.6,0.00,0,11.0
2025-03-26,37.7,21.5,0.00,0,16.1
2025-03-27,39.9,23.0,0.00,0,22.2
2025-03-28,38.9,24.2,0.00,0,19.9
2025-03-29,34.5,21.8,0.00,0,16.8
2025-03-30,34.7,19.8,0.00,0,12.1
2025-03-31,36.4,19.8,0.00,0,12.3
2025-04-01,36.7,21.1,0.00,3,11.0
2025-04-02,33.2,23.3,0.00,3,15.3
2025-04-03,37.4,20.9,0.00,3,13.3
2025-04-04,38.2,23.6,0.00,3,15.4
2025-04-05,39.8,23.3,0.00,0,16.5
2025-04-06,39.1,23.2,0.00,0,10.8
2025-04-07,39.9,24.3,0.00,2,13.9
2025-04-08,38.9,25.4,0.00,3,15.1
2025-04-09,39.4,25.8,0.00,3,19.7
2025-04-10,37.6,24.9,0.00,3,14.1
2025-04-11,35.7,20.7,0.00,3,12.6
2025-04-12,36.6,24.3,0.20,51,18.9
2025-04-13,37.2,23.6,1.00,53,18.5
2025-04-14,34.1,22.7,1.00,53,13.0
2025-04-15,36.5,23.2,0.00,1,12.6
2025-04-16,37.4,24.2,0.00,1,10.9
2025-04-17,38.9,25.5,0.00,1,16.1
2025-04-18,38.2,25.7,0.00,1,16.0
2025-04-19,36.9,24.7,0.00,1,14.1
2025-04-20,41.3,26.1,0.00,2,11.5
2025-04-21,42.4,27.8,0.00,0,12.1
2025-04-22,42.6,27.5,0.00,0,18.6
2025-04-23,41.6,25.4,0.00,0,22.1
2025-04-24,42.0,24.2,0.00,0,17.3
2025-04-25,43.3,24.7,0.00,0,14.5
2025-04-26,43.3,26.6,0.00,3,16.1
2025-04-27,41.8,27.4,0.00,3,27.4
2025-04-28,35.4,25.3,0.30,51,18.2
2025-04-29,36.6,24.0,0.70,53,15.5
2025-04-30,35.8,24.2,0.00,3,16.0
2025-05-01,34.9,24.4,5.70,63,29.8
2025-05-02,37.1,23.4,0.00,2,12.2
2025-05-03,36.7,26.0,0.70,51,11.2
2025-05-04,39.6,25.6,0.00,3,34.3
2025-05-05,36.0,25.6,1.30,53,14.4
2025-05-06,35.0,24.4,0.40,51,12.8
2025-05-07,38.9,25.7,0.00,1,14.5
2025-05-08,39.9,27.4,0.00,3,11.5
2025-05-09,39.9,27.5,0.30,51,12.0
2025-05-10,40.7,28.9,0.00,3,16.9
2025-05-11,39.9,27.7,0.70,53,17.5
2025-05-12,40.5,29.7,0.00,3,14.1
2025-05-13,41.5,28.4,0.00,0,15.1
2025-05-14,41.6,28.4,0.00,3,13.4
2025-05-15,42.7,28.8,0.00,1,12.8
2025-05-16,43.1,29.6,0.00,1,13.1
2025-05-17,41.8,28.4,0.00,2,18.0
2025-05-18,42.1,27.9,0.00,3,15.6
2025-05-19,39.9,27.9,0.00,2,14.2
2025-05-20,41.7,27.0,0.00,1,15.2
2025-05-21,41.0,27.6,0.00,3,15.2
2025-05-22,36.8,27.0,0.00,3,12.3
2025-05-23,37.7,27.1,1.00,53,10.7
2025-05-24,31.8,28.0,2.40,61,18.1
2025-05-25,36.8,27.4,0.00,3,13.3
2025-05-26,37.4,27.8,0.80,51,16.7
2025-05-27,37.1,26.0,0.10,51,14.3
2025-05-28,38.3,28.6,0.10,51,11.2
2025-05-29,40.1,27.5,0.50,51,9.8
2025-05-30,40.0,29.9,0.00,3,11.3
2025-05-31,39.7,28.0,0.80,53,19.5
2025-06-01,39.0,27.3,0.70,51,17.1
2025-06-02,40.1,29.5,0.00,3,19.9
2025-06-03,36.2,26.5,7.00,63,20.6
2025-06-04,34.5,24.3,4.30,63,12.5
2025-06-05,36.0,24.8,0.90,53,8.9
2025-06-06,37.7,25.7,0.00,2,12.4
2025-06-07,39.6,26.7,0.00,0,12.3
2025-06-08,42.2,29.0,0.00,2,16.3
2025-06-09,41.6,29.9,0.00,2,15.3
2025-06-10,41.5,31.0,0.00,2,15.0
2025-06-11,41.3,31.2,0.00,0,12.8
2025-06-12,41.6,31.4,0.00,3,14.0
2025-06-13,41.6,31.9,0.30,51,14.8
2025-06-14,43.0,31.6,0.00,2,10.8
2025-06-15,39.4,31.0,1.00,51,14.3
2025-06-16,39.1,28.2,9.00,65,9.8
2025-06-17,36.2,26.6,6.00,63,8.5
2025-06-18,34.3,27.0,7.60,63,5.4
2025-06-19,34.6,27.8,0.00,3,11.4
2025-06-20,33.0,26.0,19.70,63,12.2
2025-06-21,33.2,25.9,7.00,61,8.0
2025-06-22,34.7,27.0,3.10,63,13.1
2025-06-23,33.2,27.0,10.00,63,6.6
2025-06-24,34.6,25.7,4.70,63,10.8
2025-06-25,34.8,25.6,10.70,63,16.2
2025-06-26,34.3,27.4,4.00,61,16.7
2025-06-27,33.9,27.3,12.10,63,12.4
2025-06-28,34.3,25.9,7.60,61,12.1
2025-06-29,31.8,25.0,18.20,63,8.8
2025-06-30,33.3,25.2,17.50,63,9.3
2025-07-01,30.9,25.9,13.30,63,11.8
2025-07-02,34.1,26.2,19.70,65,14.3
2025-07-03,33.4,26.5,6.20,63,13.3
2025-07-04,32.8,25.5,13.90,65,11.3
2025-07-05,32.3,25.8,5.00,63,9.5
2025-07-06,33.5,26.3,2.20,55,17.2
2025-07-07,33.7,27.2,0.30,51,15.0
2025-07-08,34.4,27.2,2.50,61,9.5
