time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2024-12-25,22.5,11.6,0.90,51,9.2
2024-12-26,22.7,12.5,2.20,53,8.2
2024-12-27,22.8,15.4,0.80,53,8.9
2024-12-28,23.2,15.3,0.90,53,11.5
2024-12-29,22.5,13.8,0.70,51,9.3
2024-12-30,22.3,14.6,2.90,53,8.1
2024-12-31,22.7,15.6,2.00,53,17.1
2025-01-01,24.0,12.9,0.00,3,15.3
2025-01-02,23.5,13.5,0.00,3,15.2
2025-01-03,23.3,11.9,0.00,3,14.2
2025-01-04,23.4,12.5,0.00,3,12.0
2025-01-05,22.4,11.5,0.40,51,9.9
2025-01-06,22.5,10.4,0.00,3,9.7
2025-01-07,22.3,11.5,0.10,51,10.0
2025-01-08,22.0,13.6,2.40,53,9.6
2025-01-09,22.3,13.0,0.00,3,11.5
2025-01-10,23.3,13.0,0.70,51,10.5
2025-01-11,23.0,14.8,12.10,63,9.8
2025-01-12,22.6,13.5,1.30,53,8.2
2025-01-13,22.1,16.2,6.10,61,8.2
2025-01-14,22.4,16.0,4.50,61,11.2
2025-01-15,22.5,15.8,3.30,55,15.8
2025-01-16,23.4,14.9,0.00,3,14.7
2025-01-17,23.8,14.1,0.00,3,13.0
2025-01-18,23.0,12.7,3.20,55,12.9
2025-01-19,20.1,16.1,9.90,61,10.7
2025-01-20,22.9,14.7,1.40,51,11.6
2025-01-21,23.0,12.4,0.40,51,7.7
2025-01-22,23.1,12.9,3.20,55,8.1
2025-01-23,23.4,15.1,0.10,51,11.0
2025-01-24,23.3,13.1,0.00,3,12.8
2025-01-25,23.0,14.0,0.70,51,9.9
2025-01-26,24.7,13.4,0.00,3,10.9
2025-01-27,23.6,10.5,0.00,3,9.4
2025-01-28,23.0,11.3,0.00,3,10.2
2025-01-29,24.9,13.9,0.40,51,12.8
2025-01-30,22.7,13.4,2.50,53,8.7
2025-01-31,24.3,14.1,0.80,51,7.4
2025-02-01,23.4,14.4,1.50,51,9.3
2025-02-02,24.2,14.2,1.40,53,8.5
2025-02-03,23.3,13.0,1.00,51,10.9
2025-02-04,24.3,11.6,0.00,3,9.3
2025-02-05,23.8,10.7,0.00,3,10.3
2025-02-06,24.1,12.9,0.00,2,11.8
2025-02-07,24.1,11.4,0.00,3,12.2
2025-02-08,24.2,10.3,0.00,3,10.0
2025-02-09,24.4,11.5,0.00,3,9.9
2025-02-10,24.0,11.7,0.30,51,10.5
